,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving) (c),Total ever served(d),Has never served in the Australian Defence Force,Not stated,Total,,,,,,,,,,,,,,,
,MALES,,,,,,,,,,,,,,,,,,,,,
15-19 years,2203,305,543,3059,703555,42714,749330,,,,,,,,,,,,,,,
20-24 years,8683,1694,2956,13338,738099,55390,806829,,,,,,,,,,,,,,,
25-29 years,8906,2415,8013,19328,798311,69196,886836,,,,,,,,,,,,,,,
30-34 years,7595,2827,14117,24544,812664,67192,904395,,,,,,,,,,,,,,,
35-39 years,6204,2691,16287,25178,814615,61898,901697,,,,,,,,,,,,,,,
40-44 years,4311,1996,18035,24345,736662,53404,814410,,,,,,,,,,,,,,,
45-49 years,3770,1873,24458,30100,722422,49997,802516,,,,,,,,,,,,,,,
50-54 years,3325,2006,31924,37258,702739,47169,787164,,,,,,,,,,,,,,,
55-59 years,1873,2169,36081,40120,670947,43174,754242,,,,,,,,,,,,,,,
60-64 years,625,1917,36695,39233,634234,37688,711159,,,,,,,,,,,,,,,
65-69 years,..,..,40864,40864,552367,32665,625898,,,,,,,,,,,,,,,
70-74 years,..,..,75993,75993,455301,29980,561275,,,,,,,,,,,,,,,
75-79 years,..,..,42202,42202,326266,24167,392637,,,,,,,,,,,,,,,
80-84 years,..,..,37266,37266,195372,19838,252476,,,,,,,,,,,,,,,
85 years and over,..,..,44207,44207,140742,25498,210440,,,,,,,,,,,,,,,
Total,47495,19896,429637,497027,9004300,659976,10161299,,,,,,,,,,,,,,,
