,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving)(d),Total ever served(e),Has never served in the Australian Defence Force,Not stated,Sex Total responses(f),,,,,,,,,
Cancer (including remission),682,515,49650,50850,666991,10048,727885,,,,,,,,,
Dementia (including Alzheimer’s),88,25,10696,10807,159219,18835,188857,,,,,,,,,
Diabetes (excluding gestational diabetes),563,432,64330,65331,1109193,16876,1191393,,,,,,,,,
Heart disease (including heart attack or angina),535,487,79458,80478,891121,19424,991024,,,,,,,,,
Kidney disease,190,123,14727,15038,206840,5348,227223,,,,,,,,,
Lung condition (including COPD or emphysema)(g),215,169,32931,33313,393666,8386,435362,,,,,,,,,
Mental health condition (including depression or anxiety),4100,1986,75356,81441,2027174,24386,2133007,,,,,,,,,
Stroke,158,76,17060,17293,209522,6489,233305,,,,,,,,,
Any other long-term health condition(s)(h),3507,1833,68308,73647,1754767,25381,1853788,,,,,,,,,
No long-term health condition(s),46743,17454,185711,249912,11245495,80157,11575568,,,,,,,,,
Not stated,1646,676,13800,16121,593378,1078658,1688151,,,,,,,,,
Total persons(f),60286,24581,496276,581139,18954152,1249493,20784787,,,,,,,,,
,,,,,,,,,,,,,,,,
