,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving)(d),Total ever served(e),Has never served in the Australian Defence Force,Not stated,Sex Total responses(f),,,,,,,,,
,FEMALES,,,,,,,,,,,,,,,
Arthritis,613,422,17316,18346,1316285,23510,1358135,,,,,,,,,
Asthma,676,292,7489,8461,1021883,9487,1039828,,,,,,,,,
Cancer (including remission),142,104,4834,5080,369505,5687,380271,,,,,,,,,
Dementia (including Alzheimer’s),24,12,1390,1419,97640,11816,110881,,,,,,,,,
Diabetes (excluding gestational diabetes),80,52,5091,5224,527064,9239,541524,,,,,,,,,
Heart disease (including heart attack or angina),83,47,4911,5040,374696,10676,390417,,,,,,,,,
Kidney disease,41,21,1305,1368,106297,3100,110768,,,,,,,,,
Lung condition (including COPD or emphysema)(g),51,39,3186,3274,217148,4918,225336,,,,,,,,,
Mental health condition (including depression or anxiety),1057,505,12526,14089,1283886,15286,1313254,,,,,,,,,
Stroke,31,18,1350,1399,101947,3429,106781,,,,,,,,,
Any other long-term health condition(s)(h),806,380,10859,12044,1048141,15606,1075785,,,,,,,,,
No long-term health condition(s),9737,3228,26552,39513,5611742,37538,5688800,,,,,,,,,
Not stated,345,125,1931,2404,300707,497422,800534,,,,,,,,,
Total females(f),12791,4683,66639,84108,9949853,589523,10623484,,,,,,,,,
