,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving)(d),Total ever served(e),Has never served in the Australian Defence Force,Not stated,Sex Total responses(f),,,,,,,,,
Arthritis,2824,1582,97566,101976,676279,9997,788253,,,,,,,,,
Asthma,1941,1038,31173,34146,694515,5334,733991,,,,,,,,,
Cancer (including remission),538,417,44818,45770,297487,4361,347612,,,,,,,,,
Dementia (including Alzheimer’s),64,17,9309,9389,61575,7017,77978,,,,,,,,,
Diabetes (excluding gestational diabetes),485,378,59242,60103,582130,7639,649871,,,,,,,,,
Heart disease (including heart attack or angina),458,437,74543,75438,516426,8749,600606,,,,,,,,,
Kidney disease,151,95,13424,13673,100542,2241,116458,,,,,,,,,
Lung condition (including COPD or emphysema)(g),165,130,29744,30042,176515,3471,210023,,,,,,,,,
Mental health condition (including depression or anxiety),3045,1482,62827,67355,743290,9108,819755,,,,,,,,,
Stroke,128,58,15709,15895,107573,3056,126524,,,,,,,,,
Any other long-term health condition(s)(h),2698,1455,57451,61600,706628,9778,778007,,,,,,,,,
No long-term health condition(s),37008,14229,159158,210400,5633754,42618,5886770,,,,,,,,,
Not stated,1302,548,11867,13720,292666,581236,887624,,,,,,,,,
Total males(f),47495,19896,429637,497027,9004300,659976,10161299,,,,,,,,,
,FEMALES,,,,,,,,,,,,,,,
