,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving)(c),Total ever served(d),Has never served in the Australian Defence Force,Not stated,Total,,,,,,,,,
,MALES,,,,,,,,,,,,,,,
New South Wales,14108,5323,112752,132175,2891090,205314,3228581,,,,,,,,,
Victoria,5399,3308,83121,91834,2358311,150153,2600300,,,,,,,,,
Queensland,13498,5046,119571,138110,1754961,151288,2044361,,,,,,,,,
South Australia,3235,1629,36229,41089,644361,37558,723017,,,,,,,,,
Western Australia,3541,1964,47380,52888,927598,82375,1062852,,,,,,,,,
Tasmania,223,531,14787,15543,197721,12985,226250,,,,,,,,,
Northern Territory,3053,425,4234,7716,73332,11252,92299,,,,,,,,,
Australian Capital Territory,4421,1658,11491,17575,155478,8525,181575,,,,,,,,,
Total(e),47495,19896,429637,497027,9004300,659976,10161299,,,,,,,,,
