,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving)(c),Has never served in the Australian Defence Force,Not stated,Total,,,,,,,,,,,,,,,
,FEMALES,,,,,,,,,,,,,,,,,,,,
None(d),859,234,2312,444193,688,448291,,,,,,,,,,,,,,,
1-15 hours,353,411,3340,842813,1394,848304,,,,,,,,,,,,,,,
16-24 hours,405,482,3781,802282,1323,808274,,,,,,,,,,,,,,,
25-34 hours,438,496,4923,899303,1323,906480,,,,,,,,,,,,,,,
35-39 hours,1901,707,7223,1193396,1658,1204883,,,,,,,,,,,,,,,
40 hours,4020,741,5258,781076,1065,792162,,,,,,,,,,,,,,,
41-48 hours,1884,469,2813,332132,368,337660,,,,,,,,,,,,,,,
49 hours and over,2136,515,3766,409243,687,416343,,,,,,,,,,,,,,,
Not stated,236,42,304,76078,10143,86805,,,,,,,,,,,,,,,
Total,12219,4103,33719,5780514,18646,5849207,,,,,,,,,,,,,,,
