,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving)(c),Has never served in the Australian Defence Force,Not stated,Total,,,,,,,,,,,,,,,
,PERSONS,,,,,,,,,,,,,,,,,,,,
None(d),2729,1091,12646,769542,1374,787382,,,,,,,,,,,,,,,
1-15 hours,1254,1534,16068,1337617,2471,1358943,,,,,,,,,,,,,,,
16-24 hours,1122,1598,14159,1217541,2228,1236650,,,,,,,,,,,,,,,
25-34 hours,1369,1528,16606,1345223,2222,1366953,,,,,,,,,,,,,,,
35-39 hours,8306,3922,40007,2431005,3811,2487056,,,,,,,,,,,,,,,
40 hours,19807,4824,40346,2070822,3298,2139097,,,,,,,,,,,,,,,
41-48 hours,9642,3158,23580,943030,1202,980616,,,,,,,,,,,,,,,
49 hours and over,13291,4034,40032,1428406,2576,1488333,,,,,,,,,,,,,,,
Not stated,984,211,2335,175357,25481,204375,,,,,,,,,,,,,,,
Total,58512,21908,205787,11718545,44669,12049410,,,,,,,,,,,,,,,
