,Total personal income (weekly) Negative/Nil income,$1-$149,$150-$299,$300-$399,$400-$499,$500-$649,$650-$799,$800-$999,"$1,000-$1,249","$1,250-$1,499","$1,500-$1,749","$1,750-$1,999","$2,000-$2,999","$3,000-$3,499","$3,500 or more",Not stated,Sex Total(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FEMALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,90627,38530,86073,211793,270319,167380,106648,87436,75318,48471,39787,26850,38372,7749,14452,48340,1358135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asthma,80300,37671,61680,103747,121202,104904,87423,87917,88210,65357,55841,39425,59036,10188,16289,20639,1039828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancer (including remission),28681,11953,22938,52323,63985,43067,29512,25759,23566,15997,14106,10291,15974,3346,6587,12208,380271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dementia (including Alzheimer’s),8929,2421,5405,14805,32177,10320,4703,3133,1695,791,752,433,524,170,573,24048,110881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes (excluding gestational diabetes),52233,15821,37061,88127,101484,59532,38318,33012,29312,19384,15993,10561,14153,2531,4492,19501,541524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart disease (including heart attack or angina),27084,10930,25465,64219,91824,49203,27649,20942,16150,10048,8559,5342,7166,1559,3435,20839,390417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidney disease,8188,3065,7162,18161,25751,13285,7398,5831,4676,3062,2663,1630,2367,534,1050,5953,110768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung condition (including COPD or emphysema)(d),14073,5719,15111,39359,56084,30885,15613,11949,8951,5197,4394,2542,3252,755,1736,9714,225336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mental health condition (including depression or anxiety),111461,50018,90750,141381,167118,143715,110850,107279,104060,74993,60773,40919,55823,8614,12801,32687,1313254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke,8262,2894,7036,18333,26582,13089,6835,4921,3616,2197,1935,1186,1509,387,876,7128,106781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any other long-term health condition(s)(e),94460,40374,69052,123961,154344,111262,79191,76511,76001,57293,48738,34900,52435,9224,14636,33385,1075785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No long-term health condition(s),673139,252089,307994,360874,371957,459778,486864,541313,558655,414063,353098,248060,379267,74681,120910,86056,5688800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not stated,34076,13581,18501,26890,27514,26599,26109,26508,25156,17300,14850,9773,13851,2679,5179,511973,800534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total females(c),1058585,412349,588582,874289,975636,923488,846784,882592,888180,649731,551794,385966,580297,111240,181919,712058,10623484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
