,Has need for assistance with core activities,Does not have need for assistance with core activities activities,Not stated,Sex Total(d),,,,,,,,,,,,
Asthma,125606,1023673,9331,1158613,,,,,,,,,,,,
Cancer (including remission),78681,299688,3853,382225,,,,,,,,,,,,
Dementia (including Alzheimer’s),93298,13354,4352,111003,,,,,,,,,,,,
Diabetes (excluding gestational diabetes),131448,407599,6071,545121,,,,,,,,,,,,
Heart disease (including heart attack or angina),130979,257453,5573,394002,,,,,,,,,,,,
Kidney disease,42592,68193,1715,112506,,,,,,,,,,,,
Lung condition (including COPD or emphysema)(e),74896,150030,2887,227809,,,,,,,,,,,,
Mental health condition (including depression or anxiety),233132,1114471,11410,1359011,,,,,,,,,,,,
Stroke,53663,51927,1731,107317,,,,,,,,,,,,
Any other long-term health condition(s)(f),296354,842908,10030,1149291,,,,,,,,,,,,
No long-term health condition(s),63935,7414700,56132,7534773,,,,,,,,,,,,
Not stated,15490,362601,605578,983670,,,,,,,,,,,,
Total females(d),780487,11395218,701938,12877635,,,,,,,,,,,,
,PERSONS,,,,,,,,,,,,,,,
Arthritis,464828,1662391,23178,2150396,,,,,,,,,,,,
