,Has need for assistance with core activities,Does not have need for assistance with core activities activities,Not stated,Sex Total(d),,,,,,,,,,,,
Cancer (including remission),150070,574761,7332,732152,,,,,,,,,,,,
Dementia (including Alzheimer’s),154884,27305,6974,189162,,,,,,,,,,,,
Diabetes (excluding gestational diabetes),251378,934692,12645,1198721,,,,,,,,,,,,
Heart disease (including heart attack or angina),261334,725587,12174,999096,,,,,,,,,,,,
Kidney disease,81380,147213,3187,231777,,,,,,,,,,,,
Lung condition (including COPD or emphysema)(e),140736,294917,5457,441109,,,,,,,,,,,,
Mental health condition (including depression or anxiety),429554,1782801,19192,2231543,,,,,,,,,,,,
Stroke,108419,122639,3548,234609,,,,,,,,,,,,
Any other long-term health condition(s)(f),556693,1468060,17178,2041929,,,,,,,,,,,,
No long-term health condition(s),141871,15035701,115145,15292718,,,,,,,,,,,,
Not stated,32155,729148,1304942,2066251,,,,,,,,,,,,
Total persons(d),1464415,22464703,1493676,25422788,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
