,Has need for assistance with core activities,Does not have need for assistance with core activities activities,Not stated,Sex Total(d),,,,,,,,,,,,
Arthritis,154778,626940,8337,790053,,,,,,,,,,,,
Asthma,80262,822180,6964,909407,,,,,,,,,,,,
Cancer (including remission),71390,275073,3472,349930,,,,,,,,,,,,
Dementia (including Alzheimer’s),61589,13947,2621,78154,,,,,,,,,,,,
Diabetes (excluding gestational diabetes),119931,527096,6574,653595,,,,,,,,,,,,
Heart disease (including heart attack or angina),130359,468132,6603,605094,,,,,,,,,,,,
Kidney disease,38783,79023,1470,119271,,,,,,,,,,,,
Lung condition (including COPD or emphysema)(e),65843,144883,2575,213301,,,,,,,,,,,,
Mental health condition (including depression or anxiety),196421,668330,7778,872532,,,,,,,,,,,,
Stroke,54758,70711,1819,127292,,,,,,,,,,,,
Any other long-term health condition(s)(f),260338,625150,7147,892634,,,,,,,,,,,,
No long-term health condition(s),77932,7621001,59014,7757945,,,,,,,,,,,,
Not stated,16670,366541,699368,1082583,,,,,,,,,,,,
Total males(d),683931,11069482,791736,12545154,,,,,,,,,,,,
,FEMALES,,,,,,,,,,,,,,,
