,In the labour force Employed(c),Unemployed,Total,Not in the labour force,Not stated,Total(d)
,MALES,,,,,
Arthritis,267086,14760,281846,495437,10964,788253
Asthma,466960,28924,495889,233096,5015,733991
Cancer (including remission),103719,4048,107763,235366,4490,347612
Dementia (including Alzheimer’s),2245,267,2511,69637,5830,77978
Diabetes (excluding gestational diabetes),244965,15216,260177,381113,8580,649871
Heart disease (including heart attack or angina),167503,9396,176900,414623,9088,600606
Kidney disease,28781,1941,30725,83408,2328,116458
Lung condition (including COPD or emphysema)(e),41371,3946,45316,161052,3655,210023
Mental health condition (including depression or anxiety),390340,47898,438236,373288,8228,819755
Stroke,22480,1574,24059,99320,3152,126524
Any other long-term health condition(s)(f),345576,25453,371031,398624,8344,778007
No long-term health condition(s),4396067,228130,4624198,1226947,35627,5886770
Not stated,195793,12059,207848,133707,546062,887624
Total males(d),6200207,351248,6551456,2992063,617785,10161299
