,In the labour force Employed(c),Unemployed,Total,Not in the labour force,Not stated,Total(d)
,PERSONS,,,,,
Arthritis,635067,32293,667361,1444340,34684,2146388
Asthma,1036377,60083,1096460,663091,14273,1773823
Cancer (including remission),224738,8252,232995,484897,9997,727885
Dementia (including Alzheimer’s),3719,425,4139,169109,15604,188857
Diabetes (excluding gestational diabetes),396636,25010,421642,751498,18252,1191393
Heart disease (including heart attack or angina),232810,13156,245969,725738,19325,991024
Kidney disease,51256,3303,54562,167225,5440,227223
Lung condition (including COPD or emphysema)(e),80487,6921,87401,339534,8420,435362
Mental health condition (including depression or anxiety),1071332,104578,1175912,935705,21395,2133007
Stroke,37117,2548,39671,187179,6456,233305
Any other long-term health condition(s)(f),816580,51755,868331,963842,21618,1853788
No long-term health condition(s),8230665,408267,8638931,2867863,68775,11575568
Not stated,368330,20588,388924,255409,1043818,1688151
Total persons(d),12049410,646442,12695853,6888081,1200851,20784787
