,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving)(c),Total ever served(d),Has never served in the Australian Defence Force,Not stated,Total,,,,,,,,,
,PERSONS,,,,,,,,,,,,,,,
New South Wales,18007,6506,127657,,6050636,399351,6602157,,,,,,,,,
Victoria,6866,3973,94393,105234,4936372,292432,5334032,,,,,,,,,
Queensland,16803,6339,139973,163112,3747281,281419?,4191812,,,,,,,,,
South Australia,3940,2053,41861,47852,1359631,70896,1478375,,,,,,,,,
Western Australia,4496,2413,55507,62417,1948313,143513,2154244,,,,,,,,,
Tasmania,290,670,17515,18473,421126,25336,464930,,,,,,,,,
Northern Territory,3874,547,5110,9534,154529,19641,183704,,,,,,,,,
Australian Capital Territory,5977,,14164,22220,333222,16111,371559,,,,,,,,,
Total(e),60286,24581,496276,581139,18954152,1249493,20784787,,,,,,,,,
