,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving)(d),Has never served in the Australian Defence Force,Not stated,Total,
Natural and Physical Sciences,1271,724,8571,391730,1046,403340,
Information Technology,1204,802,8491,458024,1795,470318,
Engineering and Related Technologies,13050,4201,98682,1669032,7318,17192276,
Architecture and Building,,627,20919,677161,3163,702968,
"Agriculture, Environmental and Related Studies",370,,7661,240427,956,249755,
Health,3040,2406,27012,1318055,5420,1355939,
Education,118x6,946,20045,994639,3565,1020373,
Management and Commerce,8340,4518,59463,2488812,756?0,2568691,
Society and Culture,6286,3959,39831,1538349,5077,1593494,
Creative Arts,1058,546,6108,498455,1320,5074495,
"Food, Hospitality and Personal Services",1769,346,9852,622845,3210,638018,
Mixed Field Programmes,62,19,365,1835?3,826,19619,
Field of study inadequately described,1463,656,8938,185762,,198556,
Field of study not stated,1473,537,,486166,1114663,1620416,
,41667,20630,333506,11587809,1157651,13141265,
