,Age 0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years and over,Sex Total(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FEMALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,299,672,1235,2537,6337,11091,16560,25505,36957,59328,91291,125776,164132,184913,202196,165570,125743,140195,1360338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asthma,16102,46237,56441,57900,72999,86735,88740,89531,82688,83171,79532,76825,78091,73097,65487,46517,30803,27708,1158613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancer (including remission),359,740,850,1081,1671,2841,5263,9005,12574,20729,29984,37904,46524,51320,56113,44054,30954,30264,382225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dementia (including Alzheimer’s),45,39,41,65,114,123,157,171,245,413,713,1314,2217,4010,8592,14670,22667,55404,111003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes (excluding gestational diabetes),267,1033,2304,3367,4767,7199,11381,16016,20829,29640,40659,53324,65898,72809,74563,58595,43130,39342,545121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart disease (including heart attack or angina),1071,1191,1325,1650,2211,2746,3431,4467,5730,9235,15370,23281,35034,46058,57856,56737,52802,73803,394002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidney disease,453,591,695,893,1241,1838,2430,3179,3599,4694,59991,7280,9374,11157,13548,13884,13377,18278,112506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung condition (including COPD or emphysema)(d),956,792,728,742,1053,1388,1811,,4228,7357,12470,18978,27516,32227,36991,32044,23112,22653,227809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mental health condition (including depression or anxiety),969,10431,34356,88048,128456,136990,125772,117790,105476,107334,106524,96615,88123,65448,49081,33646,25537,38417,1359011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke,154,192,194,261,454,688,1030,1626,2303,3769,5437,6918,9342,11233,14194,14708,14266,20538,107317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any other long-term health condition(s)(e),13338,27094,33074,35949,49534,61782,68053,74342,74185,81935,91320,96568,102223,91802,79375,58128,45277,65297,1149291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No long-term health condition(s),626933,626813,592229,490950,502289,577985,635122,614378,524916,494852,453592,393242,332842,255325,191634,112150,61832,47679,7534773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not stated,52722,64644,65773,58244,61703,70277,70062,69041,60662,61118,60048,56690,51465,44823,40763,31521,25990,38134,983670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total females(c),711258,771436,771460,708485,772711,884837,948691,937130,834435,833442,823781,787674,756943,672561,599493,429281,302129,331903,12877635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
