,Australia (incl. External Territories),Oceania and Antarctica (excl. Australia),North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Not stated,Total(c)(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,1508195,60470,234961,123998,39502,47119,20699,30457,23577,21745,38228,2150396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asthma,1680155,60501,114466,30272,22494,50128,16764,32222,21436,21218,17713,2068020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancer (including remission),510761,22046,83845,36917,9695,17855,13548,8366,8687,9004,10866,732152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dementia (including Alzheimer’s),112877,3944,25394,22389,3838,4890,3696,2617,1787,1650,5814,189162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes (excluding gestational diabetes),705538,44276,106421,83123,39802,67254,34482,65687,13368,18054,19727,1198721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart disease (including heart attack or angina),661353,30555,114669,66549,21459,25406,16704,22434,9070,11163,18870,999096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidney disease,152876,7503,22068,15115,6194,8190,4774,5225,2264,2415,4852,231777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung condition (including COPD or emphysema)(e),320950,13054,54444,18121,5279,5599,,3688,3263,3161,9887,441109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mental health condition (including depression or anxiety),1816564,51979,134282,53902,28229,34110,19118,22465,26941,22403,20572,2231543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke,153349,7185,27081,17086,4932,6959,4224,3632,2227,2194,5487,234609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any other long-term health condition(s)(f),1463556,52549,152721,76853,45600,79363,51557,46664,27351,27421,16769,2041929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No long-term health condition(s),10457824,427464,768863,326737,298779,772272,696675,946906,235588,261353,91454,15292718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not stated,686884,26592,47888,24351,16738,30227,15068,24634,8613,10699,1173596,2066251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total(c),17020422,688217,1459833,658197,454856,1051437,854800,1150155,339618,372151,1358658,25422788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
