,In the labour force Employed(c),Unemployed,Total,Not in the labour force,Not stated,Total(d)
,PERSONS,,,,,
Arthritis,635067,32?293,667361,1444340,34684,2146388
Asthma,1036377,60083,1096460,663091,1427?3,1773823
,224738,8252,232995,484897,9997,727885
Dementia (including Alzheimer’s),3719,425,4139,1690109,15604,188857
Diabetes (excluding gestational diabetes),396636,25010,1421642,751498,18252,1191393
Heart disease (including heart attack or angina),232810,13156,245969,725738,,991024
Kid?ney disease,51256,3303,54562,167225,5440,227223
Lung condition (including COPD or emphysema)(e),80487,6921,87401,339534,8420,435362
Mental health condition1 (including depression or anxiety),1071332,104578,1175912,935705,21395,2133007
,37117,2548,39671,187179,6456,233305
Any other long-term health condition(s)(f),816580,51755,86833?1,963842,21618,1853788
No long-term health condition(s),8230665,408267,8638931,2867863,68775,1157556x8
Not stated,368330,,388924,255409,1043818,1688151
Total persons(d),12049410,646442,126950853,6888081,1200851,20784787
