,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving) (c),Total ever served(d),Has never served in the Australian Defence Force,Not stated,Total,,,,,,,,,,,,,,,
15-19 years,2203,305,543,3059,703555,42714,749330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-24 years,8683,1694,2956,13338,738099,55390,806829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-29 years,8906,2415,8013,19328,798311,69196,886836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-34 years,7595,2827,14117,24544,812664,67192,904395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35-39 years,6204,2691,16287,25178,814615,61898,901697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40-44 years,4311,1996,18035,24345,736662,53404,814410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-49 years,3770,1873,24458,30100,7422422,49997,802516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-54 years,3325,2006,31924,37258,702739,47169,787164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55-59 years,1873,2169,36081,40120,670947,43174,754242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60-64 years,625,1917,36695,39233,634234,0,711159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65-69 years,..,..,40864,40864,552367,32665,625898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70-74 years,..,..,75993,75993,455301,29980,561275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75-79 years,..,..,42202,42202,0,24167,392637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80-84 years,..,..,37266,37266,195372,19838,252476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85 years and over,..,..,44207,44207,140742,25498,210440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,47495,19896,429637,497027,9004300,659976,10161299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FEMALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
