,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving)(c),Total ever served(d),Has never served in the Australian Defence Force,Not stated,Total,,,,,,,,,
Victoria,1466,660,11275,13403,2578061,142276,2733735,0,0,0,0,0,0,0,0,0
Queensland,3305,1291,20403,24997,1992327,130132,2147455,0,0,0,0,0,0,0,0,0
South Australia,703,419,5631,6762,715269,33337,755362,0,0,0,0,0,0,0,0,0
Western Australia,953,445,8135,9535,1020715,61142,1091391,0,0,0,0,0,0,0,0,0
Tasmania,70,137,2725,2929,223408,12344,238684,0,0,0,0,0,0,0,0,0
Northern Territory,817,120,879,1818,81197,8391,91409,0,0,0,0,0,0,0,0,0
Australian Capital Territory,1554,423,2673,4652,177745,7581,189986,0,0,0,0,0,0,0,0,0
Total(e),12791,4683,66639,84108,9949853,589523,10623484,0,0,0,0,0,0,0,0,0
,PERSONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,18007,6506,127657,152170,6050636,399351,6602157,0,0,0,0,0,0,0,0,0
