,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving)(d),Has never served in the Australian Defence Force,Not stated,Total,
Natural and Physical Sciences,1271,724,8571,391730,1046,403340,0
Information Technology,1204,802,8491,458024,1795,470318,0
Engineering and Related Technologies,13050,4201,98682,1669032,7318,1792276,0
Architecture and Building,1097,627,20919,677161,3163,702968,0
"Agriculture, Environmental and Related Studies",370,339,7661,240427,956,249755,0
Health,3040,2406,27012,1318055,5420,1355939,0
Education,1186,946,20045,994639,3565,1020373,0
Management and Commerce,8340,4518,59463,2488812,7560,2568691,0
Society and Culture,6286,3959,39831,1538349,5077,1593494,0
Creative Arts,1058,546,6108,498455,1320,507495,0
"Food, Hospitality and Personal Services",1769,346,9852,622845,3210,638018,0
Mixed Field Programmes,62,19,365,18353,826,19619,0
Field of study inadequately described,1463,656,8938,185762,1737,198556,0
Field of study not stated,1473,537,17580,486166,1114663,1620416,0
Total,41667,20630,333506,11587809,1157651,13141265,0
