,Age 0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years and over,Sex Total(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,260,512,1033,1712,3936,7729,12248,17826,24366,36013,52622,74068,99855,112389,121295,97263,67579,59355,790053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,24693,70121,80607,64057,60824,66604,67628,69381,61342,57542,52027,49153,47411,43166,38254,26823,16663,13120,909407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancer (including remission),354,888,1074,1232,1824,2689,3941,5589,6880,10129,15919,25691,39232,51924,62680,53239,36606,30026,349930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dementia (including Alzheimer’s),44,66,66,78,143,159,181,246,297,494,848,1514,2673,4573,8776,13539,17390,27063,78154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes (excluding gestational diabetes),298,1060,2373,3423,4704,6451,9685,16983,24628,36178,50701,68186,83773,94527,98066,73761,46671,32142,653595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart disease (including heart attack or angina),1342,1484,1660,1888,2321,2871,3713,5908,8982,17080,29582,47583,70073,88764,104813,89857,66114,61058,605094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney disease,836,953,1025,1007,1241,1590,2062,2808,3394,4707,6162,8231,10996,13764,16827,16232,13422,14003,119271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lung condition (including COPD or emphysema)(d),1323,1078,873,899,1230,1529,1958,2699,3937,6183,10264,16589,24610,30303,35778,32147,22616,19297,213301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental health condition (including depression or anxiety),1447,16776,34564,49130,65407,74013,72407,72910,69774,73018,71921,66974,61659,47043,40009,25368,14763,15361,872532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stroke,210,272,286,317,450,602,8781,1391,2062,3598,5691,8930,12623,16447,20813,20022,16500,16214,127292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Any other long-term health condition(s)(e),18443,45580,50615,38960,33139,36543,41279,47962,50411,59059,67373,74989,81188,73435,64812,45098,31129,32626,892634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No long-term health condition(s),651054,623563,596555,547020,584529,636267,645637,627691,543256,505049,461034,396514,321681,238903,180043,104877,56866,37413,7757945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not stated,55859,68235,70866,64258,75968,85941,83656,80370,73696,73118,71262,65341,56098,45633,39565,29032,20947,22726,1082583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total males(c),752557,814704,816592,749330,806829,886836,904395,901697,814410,802516,787164,754242,711159,625898,561275,392637,252476,210440,12545154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FEMALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
