,One family household,Two or more family household,Total family household,Lone person household,Group household,Total(d),,,,,,,,
Arthritis,1409871,63369,1473239,0,55139,2035342,0,0,0,0,0,0,0,0
Asthma,1589410,73516,0,267507,77298,2007738,0,0,0,0,0,0,0,0
Cancer (including remission),507602,22138,529735,143845,17183,690766,0,0,0,0,0,0,0,0
Dementia (including Alzheimer’s),76139,5104,81242,22278,3273,106797,0,0,0,0,0,0,0,0
Diabetes (excluding gestational diabetes),829750,58790,888542,224222,316450,1144405,0,0,0,0,0,0,0,0
Heart disease (including heart attack or angina),650773,36389,687163,217218,24896,929271,0,0,0,0,0,0,0,0
Kidney disease,147914,9169,157082,50738,6647,214465,0,0,0,0,0,0,0,0
Lung condition (including COPD or emphysema)(e),265781,13561,279341,117877,17589,414806,0,0,0,0,0,0,0,0
Mental health condition (including depression or anxiety),1550943,70239,1621180,366160,127211,2114554,0,0,0,0,0,0,0,0
Stroke,143033,8839,151873,50711,6978,209560,0,0,0,0,0,0,0,0
Any other long-term health condition(s)(f),1483225,75664,1558893,294720,71601,1925214,0,0,0,0,0,0,0,0
No long-term health condition(s),12585169,689647,13274816,1121584,553354,14949750,0,0,0,0,0,0,0,0
Not stated,705644,445489,751132,90164,38549,879842,0,0,0,0,0,0,0,0
Total persons(d),19139780,1024573,20164356,2499442,871349,23535143,0,0,0,0,0,0,0,0
