,Total personal income (weekly) Negative/Nil income,$1-$149,$150-$299,$300-$399,$400-$499,$500-$649,$650-$799,$800-$999,"$1,000-$1,249","$1,250-$1,499","$1,500-$1,749","$1,750-$1,999","$2,000-$2,999","$3,000-$3,499","$3,500 or more",Not stated,Sex Total(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,36438,15707,43539,130240,105062,72377,55192,55377,62624,43514,37101,26457,46986,11655,23675,22305,788253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,56421,22093,35764,0,51801,45647,42922,56481,70171,56253,50987,39393,77376,19217,36518,12112,733991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancer (including remission),18300,7830,18350,55159,45493,32893,25384,23660,26104,17696,15400,11612,20994,5763,13214,9757,347612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dementia (including Alzheimer’s),5874,1703,4487,15655,17127,6609,4296,2852,2058,1159,960,485,627,213,675,13197,77978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes (excluding gestational diabetes),41259,13564,36687,103589,80036,56052,43773,45671,52146,36365,31602,22673,40306,9982,18184,17979,649871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart disease (including heart attack or angina),33733,13494,34768,104946,84457,57886,43854,39822,42985,28452,24184,16993,29779,8039,0,18913,600606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney disease,7527,2740,7099,22194,18599,11290,7644,6736,7075,4615,4052,2901,5197,1301,2921,4564,116458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lung condition (including COPD or emphysema)(d),11310,4662,14283,44277,38698,23053,14434,12151,12519,7407,5870,3673,5866,1471,2970,7383,210023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental health condition (including depression or anxiety),66224,22109,57730,98335,93725,67015,48471,59230,69882,50509,43022,32342,58113,12407,20924,19714,819755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stroke,8837,3199,8258,25734,21857,12692,8387,7039,6895,4230,3434,2362,3750,1012,2314,6522,126524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Any other long-term health condition(s)(e),62771,21964,47916,95177,87810,60447,44624,50453,59577,45462,40843,31608,62463,15402,0,21272,778007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No long-term health condition(s),493660,172350,214293,267675,241094,305993,357614,526501,658023,513774,465367,362236,695129,180584,336408,96074,5886770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not stated,27592,9557,14749,22181,18588,17831,19127,255613,30446,23043,20273,15333,26622,6771,12744,597195,887624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total males(c),757786,267465,416491,699302,605976,587669,592149,798018,978619,753136,677223,522629,994769,255125,480789,774155,10161299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FEMALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
