,Has need for assistance with core activities,Does not have need for assistance with core activities activities,Not stated,Sex Total(d),,,,,,,,,,,,
Arthritis,154778,626940,8337,790053,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,80262,822180,6964,909407,0,0,0,0,0,0,0,0,0,0,0,0
Cancer (including remission),71390,275073,3472,349930,0,0,0,0,0,0,0,0,0,0,0,0
,61589,13947,2621,78154,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes (excluding gestational diabetes),119931,527096,6574,653595,0,0,0,0,0,0,0,0,0,0,0,0
Heart disease (including heart attack or angina),130359,468132,6603,605094,0,0,0,0,0,0,0,0,0,0,0,0
Kidney disease,38783,79023,1470,119271,0,0,0,0,0,0,0,0,0,0,0,0
Lung condition (including COPD or emphysema)(e),65843,144883,2575,213301,0,0,0,0,0,0,0,0,0,0,0,0
Mental health condition (including depression or anxiety),196421,668330,7778,872532,0,0,0,0,0,0,0,0,0,0,0,0
Stroke,54758,70711,1819,127292,0,0,0,0,0,0,0,0,0,0,0,0
Any other long-term health condition(s)(f),260338,625150,7147,892634,0,0,0,0,0,0,0,0,0,0,0,0
No long-term health condition(s),0,7621001,59014,7757945,0,0,0,0,0,0,0,0,0,0,0,0
Not stated,16670,366541,699368,1082583,0,0,0,0,0,0,0,0,0,0,0,0
Total males(d),683931,11069482,791736,12545154,0,0,0,0,0,0,0,0,0,0,0,0
,FEMALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
