,In the labour force Employed(c),Unemployed,Total,Not in the labour force,Not stated,Total(d)
Asthma,569418,31154,600571,0,9262,1039828
,121027,4205,125233,249532,5506,380271
Dementia (including Alzheimer’s),1474,156,1626,99476,0,110881
Diabetes (excludxing gestational diabetes),151669,9792,161469,370385,9670,541524
Heart disease (including heart attack or angina),65309,3762,69068,311117,10236,390417
Kidney disease,22475,1366,23841,83815,3113,110768
,39109,2974,42085,178483,4768,225336
Mental health condition (including depression or anxiety),0,56683,737673,562415,13161,1313254
Stroke,14640,973,15613,87864,0,106781
Any other long-term health condition(s)(f),470999,26298,497299,0,13273,1075785
No long-term health condition(s),3834599,180137,4014732,1640918,33143,5688800
Not stated,172544,8535,181078,121700,497763,800534
Total females(d),5849207,295199,6144401,3896023,5830642,10623484
,PERSONS,0,0,0,0,0
Arthritis,635067,0,667361,1444340,34684,2146388
