Sex,Category,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving),in the Australian Defence Force,Not stated,Total
Males,Arthritis,2824,1582,97566,676279,9997,788253
Males,Asthma,1941,1038,31173,694515,5334,733991
Males,Cancer (including remission),538,417,44818,297487,4361,347612
Males,Dementia (including Alzheimer’s),64,17,9309,61575,7017,77978
Males,Diabetes (excluding gestational diabetes),485,378,59242,582130,7639,649871
Males,Heart disease (including heart attack or angina),458,437,74543,516426,8749,600606
Males,Kidney disease,151,95,13424,100542,2241,116458
Males,Lung condition (including COPD or emphysema)(g),165,130,29744,176515,3471,210023
Males,Mental health condition (including depression or anxiety),3045,1482,62827,743290,9108,819755
Males,Stroke,128,58,15709,107573,3056,126524
Males,Any other long-term health condition(s)(h),2698,1455,57451,706628,9778,778007
Males,No long-term health condition(s),37008,14229,159158,5633754,42618,5886770
Males,Not stated,1302,548,11867,292666,581236,887624
Males,Total males(f),47495,19896,429637,9004300,659976,10161299
Females,Arthritis,613,422,17316,1316285,23510,1358135
Females,Asthma,676,292,7489,1021883,9487,1039828
Females,Cancer (including remission),142,104,4834,369505,5687,380271
Females,Dementia (including Alzheimer’s),24,12,1390,97640,11816,110881
Females,Diabetes (excluding gestational diabetes),80,52,5091,527064,9239,541524
Females,Heart disease (including heart attack or angina),83,47,4911,374696,10676,390417
Females,Kidney disease,41,21,1305,106297,3100,110768
Females,Lung condition (including COPD or emphysema)(g),51,39,3186,217148,4918,225336
Females,Mental health condition (including depression or anxiety),1057,505,12526,1283886,15286,1313254
Females,Stroke,31,18,1350,101947,3429,106781
Females,Any other long-term health condition(s)(h),806,380,10859,1048141,15606,1075785
Females,No long-term health condition(s),9737,3228,26552,5611742,37538,5688800
Females,Not stated,345,125,1931,300707,497422,800534
Females,Total females(f),12791,4683,66639,9949853,589523,10623484
Persons,Arthritis,3434,2003,114879,1992557,33509,2146388
Persons,Asthma,2617,1323,38657,1716401,14812,1773823
Persons,Cancer (including remission),682,515,49650,666991,10048,727885
Persons,Dementia (including Alzheimer’s),88,25,10696,159219,18835,188857
Persons,Diabetes (excluding gestational diabetes),563,432,64330,1109193,16876,1191393
Persons,Heart disease (including heart attack or angina),535,487,79458,891121,19424,991024
Persons,Kidney disease,190,123,14727,206840,5348,227223
Persons,Lung condition (including COPD or emphysema)(g),215,169,32931,393666,8386,435362
Persons,Mental health condition (including depression or anxiety),4100,1986,75356,2027174,24386,2133007
Persons,Stroke,158,76,17060,209522,6489,233305
Persons,Any other long-term health condition(s)(h),3507,1833,68308,1754767,25381,1853788
Persons,No long-term health condition(s),46743,17454,185711,11245495,80157,11575568
Persons,Not stated,1646,676,13800,593378,1078658,1688151
Persons,Total persons(f),60286,24581,496276,18954152,1249493,20784787
