Sex,Category,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving),Has never served in the Australian Defence Force,Not stated,Total
Persons,Postgraduate Degree Level,5305,3776,27720,1318108,4515,1359428
Persons,Graduate Diploma and Graduate Certificate Level,1230,1335,14416,477876,1088,495942
Persons,Bachelor Degree Level,8727,5275,58184,3525050,12024,3609256
Persons,Advanced Diploma and Diploma Level,8243,4588,68453,1858023,7430,1946738
Persons,Certificate Level,16886,5122,142512,3776619,21589,3962732
Persons,Level of education inadequately described,310,157,4285,131072,1735,137554
Persons,Total non-school qualification,40702,20251,315569,11086749,48378,11511655
Persons,No non-school qualification,18620,3951,162761,7366344,91844,7643526
Persons,Level of education not stated,964,372,17934,501060,1109270,1629609
Persons,Total,60286,24581,496276,18954152,1249493,20784787
