Sex,Category,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years and over,Total
Males,Arthritis,260,512.0,1033.0,1712.0,3936.0,7729.0,12248.0,17826.0,24366.0,36013.0,52622.0,74068.0,99855.0,112389.0,121295.0,97263.0,67579.0,59355.0,790053.0
Males,Asthma,24693,70121.0,80607.0,64057.0,60824.0,66604.0,67628.0,69381.0,61342.0,57542.0,52027.0,49153.0,47411.0,43166.0,38254.0,26823.0,16663.0,13120.0,909407.0
Males,Cancer (including remission),354,888.0,1074.0,1232.0,1824.0,2689.0,3941.0,5589.0,6880.0,10129.0,15919.0,25691.0,39232.0,51924.0,62680.0,53239.0,36606.0,30026.0,349930.0
Males,Dementia (including Alzheimer’s),44,66.0,66.0,78.0,143.0,159.0,181.0,246.0,297.0,494.0,848.0,1514.0,2673.0,4573.0,8776.0,13539.0,17390.0,27063.0,78154.0
Males,Diabetes (excluding gestational diabetes),298,1060.0,2373.0,3423.0,4704.0,6451.0,9685.0,16983.0,24628.0,36178.0,50701.0,68186.0,83773.0,94527.0,98066.0,73761.0,46671.0,32142.0,653595.0
Males,Heart disease (including heart attack or angina),1342,1484.0,1660.0,1888.0,2321.0,2871.0,3713.0,5908.0,8982.0,17080.0,29582.0,47583.0,70073.0,88764.0,104813.0,89857.0,66114.0,61058.0,605094.0
Males,Kidney disease,836,953.0,1025.0,1007.0,1241.0,1590.0,2062.0,2808.0,3394.0,4707.0,6162.0,8231.0,10996.0,13764.0,16827.0,16232.0,13422.0,14003.0,119271.0
Males,Lung condition (including COPD or emphysema)(d),1323,1078.0,873.0,899.0,1230.0,1529.0,1958.0,2699.0,3937.0,6183.0,10264.0,16589.0,24610.0,30303.0,35778.0,32147.0,22616.0,19297.0,213301.0
Males,Mental health condition (including depression or anxiety),1447,16776.0,34564.0,49130.0,65407.0,74013.0,72407.0,72910.0,69774.0,73018.0,71921.0,66974.0,61659.0,47043.0,40009.0,25368.0,14763.0,15361.0,872532.0
Males,Stroke,210,272.0,286.0,317.0,450.0,602.0,878.0,1391.0,2062.0,3598.0,5691.0,8930.0,12623.0,16447.0,20813.0,20022.0,16500.0,16214.0,127292.0
Males,Any other long-term health condition(s)(e),18443,45580.0,50615.0,38960.0,33139.0,36543.0,41279.0,47962.0,50411.0,59059.0,67373.0,74989.0,81188.0,73435.0,64812.0,45098.0,31129.0,32626.0,892634.0
Males,No long-term health condition(s),651054,623563.0,596555.0,547020.0,584529.0,636267.0,645637.0,627691.0,543256.0,505049.0,461034.0,396514.0,321681.0,238903.0,180043.0,104877.0,56866.0,37413.0,7757945.0
Males,Not stated,55859,68235.0,70866.0,64258.0,75968.0,85941.0,83656.0,80370.0,73696.0,73118.0,71262.0,65341.0,56098.0,45633.0,39565.0,29032.0,20947.0,22726.0,1082583.0
Males,Total males(c),752557,814704.0,816592.0,749330.0,806829.0,886836.0,904395.0,901697.0,814410.0,802516.0,787164.0,754242.0,711159.0,625898.0,561275.0,392637.0,252476.0,210440.0,12545154.0
Females,Arthritis,299,672.0,1235.0,2537.0,6337.0,11091.0,16560.0,25505.0,36957.0,59328.0,91291.0,125776.0,164132.0,184913.0,202196.0,165570.0,125743.0,140195.0,1360338.0
Females,Asthma,16102,46237.0,56441.0,57900.0,72999.0,86735.0,88740.0,89531.0,82688.0,83171.0,79532.0,76825.0,78091.0,73097.0,65487.0,46517.0,30803.0,27708.0,1158613.0
Females,Cancer (including remission),359,740.0,850.0,1081.0,1671.0,2841.0,5263.0,9005.0,12574.0,20729.0,29984.0,37904.0,46524.0,51320.0,56113.0,44054.0,30954.0,30264.0,382225.0
Females,Dementia (including Alzheimer’s),45,39.0,41.0,65.0,114.0,123.0,157.0,171.0,245.0,413.0,713.0,1314.0,2217.0,4010.0,8592.0,14670.0,22667.0,55404.0,111003.0
Females,Diabetes (excluding gestational diabetes),267,1033.0,2304.0,3367.0,4767.0,7199.0,11381.0,16016.0,20829.0,29640.0,40659.0,53324.0,65898.0,72809.0,74563.0,58595.0,43130.0,39342.0,545121.0
Females,Heart disease (including heart attack or angina),1071,1191.0,1325.0,1650.0,2211.0,2746.0,3431.0,4467.0,5730.0,9235.0,15370.0,23281.0,35034.0,46058.0,57856.0,56737.0,52802.0,73803.0,394002.0
Females,Kidney disease,453,591.0,695.0,893.0,1241.0,1838.0,2430.0,3179.0,3599.0,4694.0,5999.0,7280.0,9374.0,11157.0,13548.0,13884.0,13377.0,18278.0,112506.0
Females,Lung condition (including COPD or emphysema)(d),956,792.0,728.0,742.0,1053.0,1388.0,1811.0,2769.0,4228.0,7357.0,12470.0,18978.0,27516.0,32227.0,36991.0,32044.0,23112.0,22653.0,227809.0
Females,Mental health condition (including depression or anxiety),969,10431.0,34356.0,88048.0,128456.0,136990.0,125772.0,117790.0,105476.0,107334.0,106524.0,96615.0,88123.0,65448.0,49081.0,33646.0,25537.0,38417.0,1359011.0
Females,Stroke,154,192.0,194.0,261.0,454.0,688.0,1030.0,1626.0,2303.0,3769.0,5437.0,6918.0,9342.0,11233.0,14194.0,14708.0,14266.0,20538.0,107317.0
Females,Any other long-term health condition(s)(e),13338,27094.0,33074.0,35949.0,49534.0,61782.0,68053.0,74342.0,74185.0,81935.0,91320.0,96568.0,102223.0,91802.0,79375.0,58128.0,45277.0,65297.0,1149291.0
Females,No long-term health condition(s),626933,626813.0,592229.0,490950.0,502289.0,577985.0,635122.0,614378.0,524916.0,494852.0,453592.0,393242.0,332842.0,255325.0,191634.0,112150.0,61832.0,47679.0,7534773.0
Females,Not stated,52722,64644.0,65773.0,58244.0,61703.0,70277.0,70062.0,69041.0,60662.0,61118.0,60048.0,56690.0,51465.0,44823.0,40763.0,31521.0,25990.0,38134.0,983670.0
Females,Total females(c),711258,771436.0,771460.0,708485.0,772711.0,884837.0,948691.0,937130.0,834435.0,833442.0,823781.0,787674.0,756943.0,672561.0,599493.0,429281.0,302129.0,331903.0,12877635.0
Persons,Arthritis,559,1184.0,2267.0,4244.0,10277.0,18816.0,28810.0,43327.0,61324.0,95345.0,143914.0,199847.0,263985.0,297303.0,323489.0,262836.0,193321.0,199553.0,2150396.0
Persons,Asthma,40798,116350.0,137055.0,121959.0,133826.0,153337.0,156372.0,158908.0,144032.0,140711.0,131566.0,125983.0,125501.0,116259.0,103738.0,73342.0,47463.0,40827.0,2068020.0
Persons,Cancer (including remission),714,1626.0,1929.0,2308.0,3503.0,5525.0,9204.0,14598.0,19455.0,30855.0,45911.0,63596.0,85761.0,103248.0,118787.0,97289.0,67559.0,60294.0,732152.0
Persons,Dementia (including Alzheimer’s),92,107.0,105.0,146.0,262.0,285.0,331.0,420.0,539.0,915.0,1566.0,2825.0,4892.0,8584.0,17373.0,28204.0,40056.0,82471.0,189162.0
Persons,Diabetes (excluding gestational diabetes),570,2088.0,4670.0,6785.0,9472.0,13648.0,21067.0,33001.0,45453.0,65821.0,91359.0,121506.0,149672.0,167336.0,172633.0,132359.0,89802.0,71482.0,1198721.0
Persons,Heart disease (including heart attack or angina),2411,2671.0,2982.0,3538.0,4528.0,5614.0,7143.0,10375.0,14710.0,26318.0,44957.0,70862.0,105109.0,134828.0,162669.0,146594.0,118922.0,134859.0,999096.0
Persons,Kidney disease,1285,1542.0,1722.0,1904.0,2483.0,3429.0,4496.0,5992.0,6987.0,9397.0,12156.0,15511.0,20369.0,24919.0,30376.0,30115.0,26800.0,32284.0,231777.0
Persons,Lung condition (including COPD or emphysema)(d),2276,1870.0,1597.0,1636.0,2280.0,2917.0,3765.0,5469.0,8172.0,13541.0,22737.0,35562.0,52123.0,62529.0,72763.0,64188.0,45731.0,41952.0,441109.0
Persons,Mental health condition (including depression or anxiety),2415,27207.0,68917.0,137183.0,193865.0,211004.0,198180.0,190700.0,175248.0,180351.0,178442.0,163582.0,149782.0,112487.0,89093.0,59013.0,40298.0,53776.0,2231543.0
Persons,Stroke,363,465.0,479.0,583.0,896.0,1291.0,1914.0,3020.0,4358.0,7370.0,11127.0,15845.0,21967.0,27682.0,35009.0,34732.0,30770.0,36755.0,234609.0
Persons,Any other long-term health condition(s)(e),31776,72673.0,83686.0,74909.0,82673.0,98327.0,109337.0,122308.0,124596.0,140990.0,158696.0,171561.0,183412.0,165234.0,144188.0,103228.0,76408.0,97923.0,2041929.0
Persons,No long-term health condition(s),1277991,1250379.0,1188782.0,1037973.0,1086818.0,1214254.0,1280755.0,1242069.0,1068175.0,999899.0,914628.0,789760.0,654524.0,494222.0,371675.0,217034.0,118701.0,85091.0,15292718.0
Persons,Not stated,108583,132883.0,136633.0,122504.0,137675.0,156219.0,153722.0,149406.0,134358.0,134237.0,131312.0,122031.0,107564.0,90455.0,80327.0,60554.0,46940.0,60854.0,2066251.0
Persons,Total persons(c),1463817,1586138.0,1588051.0,1457812.0,1579539.0,1771676.0,1853085.0,1838822.0,1648843.0,1635963.0,1610944.0,1541911.0,1468097.0,1298460.0,1160768.0,821920.0,554598.0,542342.0,25422788.0
