Sex,Category,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Capital Territory,Total
Persons,Arthritis,679359.0,518633.0,456139.0,179605.0,202847.0,68070.0,10374.0,35106.0,2150396.0
Persons,Asthma,625835.0,543047.0,438183.0,159294.0,195300.0,52171.0,13085.0,40839.0,2068020.0
Persons,Cancer (including remission),227981.0,179326.0,159887.0,57008.0,72864.0,19104.0,3698.0,12182.0,732152.0
Persons,Dementia (including Alzheimer’s),62706.0,45946.0,37680.0,17330.0,17612.0,4395.0,835.0,2634.0,189162.0
Persons,Diabetes (excluding gestational diabetes),388747.0,303371.0,231642.0,101606.0,117182.0,28394.0,10093.0,17501.0,1198721.0
Persons,Heart disease (including heart attack or angina),316840.0,243130.0,215678.0,82321.0,94523.0,25185.0,7151.0,14098.0,999096.0
Persons,Kidney disease,77272.0,57437.0,47737.0,16153.0,20352.0,6326.0,2264.0,4194.0,231777.0
Persons,Lung condition (including COPD or emphysema)(e),135909.0,97270.0,106989.0,36054.0,42087.0,14027.0,2716.0,5998.0,441109.0
Persons,Mental health condition (including depression or anxiety),646412.0,571150.0,496662.0,175203.0,220581.0,63861.0,11979.0,45517.0,2231543.0
Persons,Stroke,73269.0,59844.0,49769.0,18763.0,21573.0,6836.0,1272.0,3237.0,234609.0
Persons,Any other long-term health condition(s)(f),626827.0,519110.0,434963.0,156640.0,196431.0,49458.0,14099.0,44128.0,2041929.0
Persons,No long-term health condition(s),4925422.0,3969506.0,3001387.0,1032317.0,1629249.0,305093.0,149823.0,277197.0,15292718.0
Persons,Not stated,654833.0,492709.0,459562.0,123383.0,235428.0,43649.0,28397.0,27308.0,2066251.0
Persons,Total persons(c),8072163.0,6503491.0,5156138.0,1781516.0,2660026.0,557571.0,232605.0,454499.0,25422788.0
