Sex,Category,Australia (incl. External Territories),Oceania and Antarctica (excl. Australia),North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Not stated,Total
Persons,Arthritis,1508195.0,60470.0,234961.0,123998.0,39502.0,47119.0,20699.0,30457.0,23577.0,21745.0,38228.0,2150396.0
Persons,Asthma,1680155.0,60501.0,114466.0,30272.0,22494.0,50128.0,16764.0,32222.0,21436.0,21218.0,17713.0,2068020.0
Persons,Cancer (including remission),510761.0,22046.0,83845.0,36917.0,9695.0,17855.0,13548.0,8366.0,8687.0,9004.0,10866.0,732152.0
Persons,Dementia (including Alzheimer’s),112877.0,3944.0,25394.0,22389.0,3838.0,4890.0,3696.0,2617.0,1787.0,1650.0,5814.0,189162.0
Persons,Diabetes (excluding gestational diabetes),705538.0,44276.0,106421.0,83123.0,39802.0,67254.0,34482.0,65687.0,13368.0,18054.0,19727.0,1198721.0
Persons,Heart disease (including heart attack or angina),661353.0,30555.0,114669.0,66549.0,21459.0,25406.0,16704.0,22434.0,9070.0,11163.0,18870.0,999096.0
Persons,Kidney disease,152876.0,7503.0,22068.0,15115.0,6194.0,8190.0,4774.0,5225.0,2264.0,2415.0,4852.0,231777.0
Persons,Lung condition (including COPD or emphysema)(e),320950.0,13054.0,54444.0,18121.0,5279.0,5599.0,3395.0,3688.0,3263.0,3161.0,9887.0,441109.0
Persons,Mental health condition (including depression or anxiety),1816564.0,51979.0,134282.0,53902.0,28229.0,34110.0,19118.0,22465.0,26941.0,22403.0,20572.0,2231543.0
Persons,Stroke,153349.0,7185.0,27081.0,17086.0,4932.0,6959.0,4224.0,3632.0,2227.0,2194.0,5487.0,234609.0
Persons,Any other long-term health condition(s)(f),1463556.0,52549.0,152721.0,76853.0,45600.0,79363.0,51557.0,46664.0,27351.0,27421.0,16769.0,2041929.0
Persons,No long-term health condition(s),10457824.0,427464.0,768863.0,326737.0,298779.0,772272.0,696675.0,946906.0,235588.0,261353.0,91454.0,15292718.0
Persons,Not stated,686884.0,26592.0,47888.0,24351.0,16738.0,30227.0,15068.0,24634.0,8613.0,10699.0,1173596.0,2066251.0
Persons,Total(c),17020422.0,688217.0,1459833.0,658197.0,454856.0,1051437.0,854800.0,1150155.0,339618.0,372151.0,1358658.0,25422788.0
