Sex,Category,One family,Two or more,Total family,Lone person,Group,Total
Persons,household,household, family household,household,household,household,Total(d)
Persons,Arthritis,1409871,63369,1473239,506964,55139,2035342
Persons,Asthma,1589410,73516,1662925,267507,77298,2007738
Persons,Cancer (including remission),507602,22138,529735,143845,17183,690766
Persons,Dementia (including Alzheimer’s),76139,5104,81242,22278,3273,106797
Persons,Diabetes (excluding gestational diabetes),829750,58790,888542,224222,31645,1144405
Persons,Heart disease (including heart attack or angina),650773,36389,687163,217218,24896,929271
Persons,Kidney disease,147914,9169,157082,50738,6647,214465
Persons,Lung condition (including COPD or emphysema)(e),265781,13561,279341,117877,17589,414806
Persons,Mental health condition (including depression or anxiety),1550943,70239,1621180,366160,127211,2114554
Persons,Stroke,143033,8839,151873,50711,6978,209560
Persons,Any other long-term health condition(s)(f),1483225,75664,1558893,294720,71601,1925214
Persons,No long-term health condition(s),12585169,689647,13274816,1121584,553354,14949750
Persons,Not stated,705644,45489,751132,90164,38549,879842
Persons,Total persons(d),19139780,1024573,20164356,2499442,871349,23535143
