Sex,Category,Negative/Nil income,$1-$149,$150-$299,$300-$399,$400-$499,$500-$649,$650-$799,$800-$999,"$1,000-$1,249","$1,250-$1,499","$1,500-$1,749","$1,750-$1,999","$2,000-$2,999","$3,000-$3,499","$3,500 or more",Not stated,Total
Males,Arthritis,36438,15707,43539,130240,105062,72377,55192,55377,62624,43514,37101,26457,46986,11655,23675,22305,788253
Males,Asthma,56421,22093,35764,60833,51801,45647,42922,56481,70171,56253,50987,39393,77376,19217,36518,12112,733991
Males,Cancer (including remission),18300,7830,18350,55159,45493,32893,25384,23660,26104,17696,15400,11612,20994,5763,13214,9757,347612
Males,Dementia (including Alzheimer’s),5874,1703,4487,15655,17127,6609,4296,2852,2058,1159,960,485,627,213,675,13197,77978
Males,Diabetes (excluding gestational diabetes),41259,13564,36687,103589,80036,56052,43773,45671,52146,36365,31602,22673,40306,9982,18184,17979,649871
Males,Heart disease (including heart attack or angina),33733,13494,34768,104946,84457,57886,43854,39822,42985,28452,24184,16993,29779,8039,18307,18913,600606
Males,Kidney disease,7527,2740,7099,22194,18599,11290,7644,6736,7075,4615,4052,2901,5197,1301,2921,4564,116458
Males,Lung condition (including COPD or emphysema)(d),11310,4662,14283,44277,38698,23053,14434,12151,12519,7407,5870,3673,5866,1471,2970,7383,210023
Males,Mental health condition (including depression or anxiety),66224,22109,57730,98335,93725,67015,48471,59230,69882,50509,43022,32342,58113,12407,20924,19714,819755
Males,Stroke,8837,3199,8258,25734,21857,12692,8387,7039,6895,4230,3434,2362,3750,1012,2314,6522,126524
Males,Any other long-term health condition(s)(e),62771,21964,47916,95177,87810,60447,44624,50453,59577,45462,40843,31608,62463,15402,30209,21272,778007
Males,No long-term health condition(s),493660,172350,214293,267675,241094,305993,357614,526501,658023,513774,465367,362236,695129,180584,336408,96074,5886770
Males,Not stated,27592,9557,14749,22181,18588,17831,19127,25563,30446,23043,20273,15333,26622,6771,12744,597195,887624
Males,Total males(c),757786,267465,416491,699302,605976,587669,592149,798018,978619,753136,677223,522629,994769,255125,480789,774155,10161299
Females,Arthritis,90627,38530,86073,211793,270319,167380,106648,87436,75318,48471,39787,26850,38372,7749,14452,48340,1358135
Females,Asthma,80300,37671,61680,103747,121202,104904,87423,87917,88210,65357,55841,39425,59036,10188,16289,20639,1039828
Females,Cancer (including remission),28681,11953,22938,52323,63985,43067,29512,25759,23566,15997,14106,10291,15974,3346,6587,12208,380271
Females,Dementia (including Alzheimer’s),8929,2421,5405,14805,32177,10320,4703,3133,1695,791,752,433,524,170,573,24048,110881
Females,Diabetes (excluding gestational diabetes),52233,15821,37061,88127,101484,59532,38318,33012,29312,19384,15993,10561,14153,2531,4492,19501,541524
Females,Heart disease (including heart attack or angina),27084,10930,25465,64219,91824,49203,27649,20942,16150,10048,8559,5342,7166,1559,3435,20839,390417
Females,Kidney disease,8188,3065,7162,18161,25751,13285,7398,5831,4676,3062,2663,1630,2367,534,1050,5953,110768
Females,Lung condition (including COPD or emphysema)(d),14073,5719,15111,39359,56084,30885,15613,11949,8951,5197,4394,2542,3252,755,1736,9714,225336
Females,Mental health condition (including depression or anxiety),111461,50018,90750,141381,167118,143715,110850,107279,104060,74993,60773,40919,55823,8614,12801,32687,1313254
Females,Stroke,8262,2894,7036,18333,26582,13089,6835,4921,3616,2197,1935,1186,1509,387,876,7128,106781
Females,Any other long-term health condition(s)(e),94460,40374,69052,123961,154344,111262,79191,76511,76001,57293,48738,34900,52435,9224,14636,33385,1075785
Females,No long-term health condition(s),673139,252089,307994,360874,371957,459778,486864,541313,558655,414063,353098,248060,379267,74681,120910,86056,5688800
Females,Not stated,34076,13581,18501,26890,27514,26599,26109,26508,25156,17300,14850,9773,13851,2679,5179,511973,800534
Females,Total females(c),1058585,412349,588582,874289,975636,923488,846784,882592,888180,649731,551794,385966,580297,111240,181919,712058,10623484
Persons,Arthritis,127066,54238,129614,342030,375385,239760,161837,142809,137943,91986,76882,53307,85358,19400,38130,70644,2146388
Persons,Asthma,136722,59767,97444,164577,173003,150549,130335,144398,158383,121619,106832,78818,136410,29405,52810,32746,1773823
Persons,Cancer (including remission),46982,19782,41285,107482,109476,75955,54896,49416,49675,33693,29510,21903,36965,9107,19799,21965,727885
Persons,Dementia (including Alzheimer’s),14810,4126,9892,30460,49310,16930,8999,5985,3754,1952,1707,921,1151,379,1243,37247,188857
Persons,Diabetes (excluding gestational diabetes),93487,29391,73750,191717,181520,115582,82090,78688,81462,55754,47593,33238,54459,12516,22676,37481,1191393
Persons,Heart disease (including heart attack or angina),60824,24420,60235,169163,176287,107088,71504,60763,59136,38498,32748,22337,36948,9599,21744,39748,991024
Persons,Kidney disease,15712,5809,14266,40352,44352,24576,15039,12568,11749,7674,6716,4531,7566,1831,3969,10513,227223
Persons,Lung condition (including COPD or emphysema)(d),25382,10384,29392,83637,94779,53938,30046,24102,21464,12609,10268,6218,9117,2225,4708,17092,435362
Persons,Mental health condition (including depression or anxiety),177687,72128,148476,239713,260842,210734,159317,166513,173939,125502,103797,73265,113940,21024,33729,52402,2133007
