Sex,Category,Has need for assistance with core activities,assistance with core activities activities,Not stated,Total
Males,Arthritis,154778,626940,8337,790053
Males,Asthma,80262,822180,6964,909407
Males,Cancer (including remission),71390,275073,3472,349930
Males,Dementia (including Alzheimer’s),61589,13947,2621,78154
Males,Diabetes (excluding gestational diabetes),119931,527096,6574,653595
Males,Heart disease (including heart attack or angina),130359,468132,6603,605094
Males,Kidney disease,38783,79023,1470,119271
Males,Lung condition (including COPD or emphysema)(e),65843,144883,2575,213301
Males,Mental health condition (including depression or anxiety),196421,668330,7778,872532
Males,Stroke,54758,70711,1819,127292
Males,Any other long-term health condition(s)(f),260338,625150,7147,892634
Males,No long-term health condition(s),77932,7621001,59014,7757945
Males,Not stated,16670,366541,699368,1082583
Males,Total males(d),683931,11069482,791736,12545154
Females,Arthritis,310050,1035446,14841,1360338
Females,Asthma,125606,1023673,9331,1158613
Females,Cancer (including remission),78681,299688,3853,382225
Females,Dementia (including Alzheimer’s),93298,13354,4352,111003
Females,Diabetes (excluding gestational diabetes),131448,407599,6071,545121
Females,Heart disease (including heart attack or angina),130979,257453,5573,394002
Females,Kidney disease,42592,68193,1715,112506
Females,Lung condition (including COPD or emphysema)(e),74896,150030,2887,227809
Females,Mental health condition (including depression or anxiety),233132,1114471,11410,1359011
Females,Stroke,53663,51927,1731,107317
Females,Any other long-term health condition(s)(f),296354,842908,10030,1149291
Females,No long-term health condition(s),63935,7414700,56132,7534773
Females,Not stated,15490,362601,605578,983670
Females,Total females(d),780487,11395218,701938,12877635
Persons,Arthritis,464828,1662391,23178,2150396
Persons,Asthma,205863,1845856,16298,2068020
Persons,Cancer (including remission),150070,574761,7332,732152
Persons,Dementia (including Alzheimer’s),154884,27305,6974,189162
Persons,Diabetes (excluding gestational diabetes),251378,934692,12645,1198721
Persons,Heart disease (including heart attack or angina),261334,725587,12174,999096
Persons,Kidney disease,81380,147213,3187,231777
Persons,Lung condition (including COPD or emphysema)(e),140736,294917,5457,441109
Persons,Mental health condition (including depression or anxiety),429554,1782801,19192,2231543
Persons,Stroke,108419,122639,3548,234609
Persons,Any other long-term health condition(s)(f),556693,1468060,17178,2041929
Persons,No long-term health condition(s),141871,15035701,115145,15292718
Persons,Not stated,32155,729148,1304942,2066251
Persons,Total persons(d),1464415,22464703,1493676,25422788
