Sex,Category,Employed,Unemployed,labour force,Not stated,Total
Males,Arthritis,267086,14760,495437,10964,788253
Males,Asthma,466960,28924,233096,5015,733991
Males,Cancer (including remission),103719,4048,235366,4490,347612
Males,Dementia (including Alzheimer’s),2245,267,69637,5830,77978
Males,Diabetes (excluding gestational diabetes),244965,15216,381113,8580,649871
Males,Heart disease (including heart attack or angina),167503,9396,414623,9088,600606
Males,Kidney disease,28781,1941,83408,2328,116458
Males,Lung condition (including COPD or emphysema)(e),41371,3946,161052,3655,210023
Males,Mental health condition (including depression or anxiety),390340,47898,373288,8228,819755
Males,Stroke,22480,1574,99320,3152,126524
Males,Any other long-term health condition(s)(f),345576,25453,398624,8344,778007
Males,No long-term health condition(s),4396067,228130,1226947,35627,5886770
Males,Not stated,195793,12059,133707,546062,887624
Males,Total males(d),6200207,351248,2992063,617785,10161299
Females,Arthritis,367982,17532,948907,23715,1358135
Females,Asthma,569418,31154,429994,9262,1039828
Females,Cancer (including remission),121027,4205,249532,5506,380271
Females,Dementia (including Alzheimer’s),1474,156,99476,9774,110881
Females,Diabetes (excluding gestational diabetes),151669,9792,370385,9670,541524
Females,Heart disease (including heart attack or angina),65309,3762,311117,10236,390417
Females,Kidney disease,22475,1366,83815,3113,110768
Females,Lung condition (including COPD or emphysema)(e),39109,2974,178483,4768,225336
Females,Mental health condition (including depression or anxiety),680993,56683,562415,13161,1313254
Females,Stroke,14640,973,87864,3304,106781
Females,Any other long-term health condition(s)(f),470999,26298,565217,13273,1075785
Females,No long-term health condition(s),3834599,180137,1640918,33143,5688800
Females,Not stated,172544,8535,121700,497763,800534
Females,Total females(d),5849207,295199,3896023,583062,10623484
Persons,Arthritis,635067,32293,1444340,34684,2146388
Persons,Asthma,1036377,60083,663091,14273,1773823
Persons,Cancer (including remission),224738,8252,484897,9997,727885
Persons,Dementia (including Alzheimer’s),3719,425,169109,15604,188857
Persons,Diabetes (excluding gestational diabetes),396636,25010,751498,18252,1191393
Persons,Heart disease (including heart attack or angina),232810,13156,725738,19325,991024
Persons,Kidney disease,51256,3303,167225,5440,227223
Persons,Lung condition (including COPD or emphysema)(e),80487,6921,339534,8420,435362
Persons,Mental health condition (including depression or anxiety),1071332,104578,935705,21395,2133007
Persons,Stroke,37117,2548,187179,6456,233305
Persons,Any other long-term health condition(s)(f),816580,51755,963842,21618,1853788
Persons,No long-term health condition(s),8230665,408267,2867863,68775,11575568
Persons,Not stated,368330,20588,255409,1043818,1688151
Persons,Total persons(d),12049410,646442,6888081,1200851,20784787
