Sex,Category,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving),Total ever served,Has never served in the Australian Defence Force,Not stated,Total
Males,15-19 years,2203,305,543.0,3059.0,703555.0,42714.0,749330.0
Males,20-24 years,8683,1694,2956.0,13338.0,738099.0,55390.0,806829.0
Males,25-29 years,8906,2415,8013.0,19328.0,798311.0,69196.0,886836.0
Males,30-34 years,7595,2827,14117.0,24544.0,812664.0,67192.0,904395.0
Males,35-39 years,6204,2691,,25178.0,814615.0,61898.0,901697.0
Males,40-44 years,4311,1996,18035.0,24345.0,736662.0,53404.0,814410.0
Males,45-49 years,3770,1873,24458.0,30100.0,722422.0,49997.0,802516.0
Males,50-54 years,3325,2006,31924.0,37258.0,702739.0,47169.0,787164.0
Males,55-59 years,1873,2169,36081.0,40120.0,670947.0,43174.0,754242.0
Males,60-64 years,625,1917,36695.0,39233.0,634234.0,37688.0,711159.0
Males,65-69 years,0,0,40864.0,40864.0,552367.0,32665.0,625898.0
Males,70-74 years,0,0,75993.0,75993.0,455301.0,29980.0,561275.0
Males,75-79 years,0,0,42202.0,42202.0,326266.0,24167.0,392637.0
Males,80-84 years,0,0,37266.0,37266.0,195372.0,19838.0,252476.0
Males,85 years and over,0,0,44207.0,44207.0,140742.0,25498.0,210440.0
Males,Total,47495,19896,429637.0,497027.0,9004300.0,659976.0,10161299.0
Females,15-19 years,796,98,203.0,1093.0,668719.0,38664.0,708485.0
Females,20-24 years,3024,409,1033.0,4459.0,724172.0,44081.0,772711.0
Females,25-29 years,2636,620,1715.0,4966.0,824737.0,55130.0,884837.0
Females,30-34 years,2036,619,2600.0,5254.0,890000.0,53439.0,948691.0
Females,35-39 years,1479,646,3096.0,5223.0,882302.0,49604.0,937130.0
Females,40-44 years,973,559,4487.0,6016.0,787757.0,40662.0,834435.0
Females,45-49 years,779,556,5846.0,7177.0,787321.0,38944.0,833442.0
Females,50-54 years,658,515,8440.0,9617.0,777925.0,36231.0,823781.0
Females,55-59 years,281,389,8183.0,8859.0,744284.0,34532.0,787674.0
Females,60-64 years,140,269,8305.0,8714.0,716104.0,32125.0,756943.0
Females,65-69 years,0,0,6817.0,6817.0,635307.0,30437.0,672561.0
Females,70-74 years,0,0,5765.0,5765.0,562819.0,30905.0,599493.0
Females,75-79 years,0,0,3620.0,3620.0,397660.0,28003.0,429281.0
Females,80-84 years,0,0,2332.0,2332.0,271860.0,27932.0,302129.0
Females,85 years and over,0,0,4194.0,4194.0,278885.0,48826.0,331903.0
Females,Total,12791,4683,66639.0,84108.0,,589523.0,10623484.0
Persons,15-19 years,3005,404,748.0,4157.0,1372275.0,81375.0,1457812.0
Persons,20-24 years,11708,2102,3986.0,17797.0,1462270.0,99475.0,1579539.0
Persons,25-29 years,11540,3036,9726.0,24298.0,1623049.0,124325.0,1771676.0
Persons,30-34 years,9627,3447,16718.0,29789.0,1702658.0,120633.0,1853085.0
Persons,35-39 years,7677,3335,19385.0,30399.0,1696921.0,111504.0,1838822.0
Persons,40-44 years,5281,2555,22522.0,30360.0,1524420.0,94066.0,1648843.0
Persons,45-49 years,4543,2427,30305.0,37276.0,1509737.0,88945.0,1635963.0
Persons,50-54 years,3984,2525,40368.0,,1480666.0,83402.0,1610944.0
Persons,55-59 years,2154,2559,44262.0,48981.0,1415229.0,77707.0,1541911.0
Persons,60-64 years,764,2186,44999.0,47946.0,1350336.0,69812.0,1468097.0
Persons,65-69 years,0,0,47679.0,47679.0,1187672.0,63110.0,1298460.0
Persons,70-74 years,0,0,81758.0,81758.0,1018124.0,60888.0,1160768.0
Persons,75-79 years,0,0,45821.0,45821.0,723926.0,52175.0,821920.0
Persons,80-84 years,0,0,39601.0,39601.0,467228.0,47769.0,554598.0
Persons,85 years and over,0,0,48396.0,48396.0,419626.0,74316.0,542342.0
Persons,Total,60286,24581,496276.0,581139.0,18954152.0,1249493.0,20784787.0
