Sex,Category,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving),Total ever served,in the Australian Defence Force,Not stated,Total
Males,Arthritis,2824.0,1582.0,97566.0,101976.0,676279.0,9997.0,788253.0
Males,Asthma,1941.0,1038.0,31173.0,34146.0,694515.0,5334.0,733991.0
Males,Cancer (including remission),538.0,417.0,44818.0,45770.0,297487.0,4361.0,347612.0
Males,Dementia (including Alzheimer’s),64.0,17.0,9309.0,9389.0,61575.0,7017.0,77978.0
Males,Diabetes (excluding gestational diabetes),485.0,378.0,59242.0,60103.0,582130.0,7639.0,649871.0
Males,Heart disease (including heart attack or angina),458.0,437.0,74543.0,75438.0,516426.0,8749.0,600606.0
Males,Kidney disease,151.0,95.0,13424.0,13673.0,100542.0,2241.0,116458.0
Males,Lung condition (including COPD or emphysema)(g),165.0,130.0,29744.0,30042.0,176515.0,3471.0,210023.0
Males,Mental health condition (including depression or anxiety),3045.0,1482.0,62827.0,67355.0,743290.0,9108.0,819755.0
Males,Stroke,128.0,,15709.0,15895.0,107573.0,3056.0,126524.0
Males,Any other long-term health condition(s)(h),,1455.0,57451.0,61600.0,706628.0,9778.0,778007.0
Males,No long-term health condition(s),37008.0,14229.0,159158.0,210400.0,5633754.0,42618.0,5886770.0
Males,Not stated,1302.0,548.0,11867.0,13720.0,292666.0,581236.0,887624.0
Males,Total males(f),47495.0,19896.0,429637.0,497027.0,9004300.0,,10161299.0
Females,Arthritis,613.0,422.0,17316.0,18346.0,1316285.0,23510.0,1358135.0
Females,Asthma,676.0,292.0,7489.0,8461.0,1021883.0,9487.0,1039828.0
Females,Cancer (including remission),142.0,104.0,4834.0,5080.0,369505.0,5687.0,380271.0
Females,Dementia (including Alzheimer’s),24.0,12.0,1390.0,1419.0,97640.0,11816.0,110881.0
Females,Diabetes (excluding gestational diabetes),80.0,52.0,5091.0,5224.0,527064.0,9239.0,541524.0
Females,Heart disease (including heart attack or angina),83.0,47.0,4911.0,5040.0,374696.0,10676.0,390417.0
Females,Kidney disease,41.0,21.0,1305.0,1368.0,106297.0,,110768.0
Females,Lung condition (including COPD or emphysema)(g),51.0,39.0,3186.0,3274.0,217148.0,4918.0,225336.0
Females,Mental health condition (including depression or anxiety),1057.0,505.0,12526.0,14089.0,1283886.0,15286.0,1313254.0
Females,Stroke,31.0,18.0,1350.0,1399.0,101947.0,3429.0,106781.0
Females,Any other long-term health condition(s)(h),806.0,380.0,10859.0,12044.0,1048141.0,15606.0,1075785.0
Females,No long-term health condition(s),9737.0,3228.0,26552.0,39513.0,5611742.0,37538.0,5688800.0
Females,Not stated,345.0,,1931.0,2404.0,300707.0,497422.0,800534.0
Females,Total females(f),12791.0,4683.0,66639.0,84108.0,9949853.0,589523.0,10623484.0
Persons,Arthritis,3434.0,2003.0,114879.0,120317.0,1992557.0,33509.0,2146388.0
Persons,Asthma,2617.0,1323.0,38657.0,42610.0,1716401.0,14812.0,1773823.0
Persons,Cancer (including remission),682.0,515.0,49650.0,50850.0,666991.0,10048.0,727885.0
Persons,Dementia (including Alzheimer’s),88.0,25.0,10696.0,10807.0,159219.0,18835.0,188857.0
Persons,Diabetes (excluding gestational diabetes),563.0,432.0,64330.0,65331.0,1109193.0,16876.0,1191393.0
Persons,Heart disease (including heart attack or angina),535.0,487.0,79458.0,80478.0,891121.0,19424.0,991024.0
Persons,Kidney disease,190.0,123.0,14727.0,15038.0,206840.0,5348.0,227223.0
Persons,Lung condition (including COPD or emphysema)(g),215.0,169.0,32931.0,33313.0,393666.0,,435362.0
Persons,Mental health condition (including depression or anxiety),4100.0,1986.0,75356.0,81441.0,2027174.0,24386.0,2133007.0
Persons,Stroke,158.0,76.0,17060.0,17293.0,209522.0,6489.0,233305.0
Persons,Any other long-term health condition(s)(h),3507.0,1833.0,68308.0,73647.0,1754767.0,25381.0,1853788.0
Persons,No long-term health condition(s),46743.0,17454.0,185711.0,249912.0,11245495.0,80157.0,11575568.0
Persons,Not stated,1646.0,676.0,13800.0,16121.0,593378.0,1078658.0,1688151.0
Persons,Total persons(f),60286.0,24581.0,496276.0,581139.0,18954152.0,1249493.0,20784787.0
