Sex,Category,Negative/Nil income,$1-$149,$150-$299,$300-$399,$400-$499,$500-$649,$650-$799,$800-$999,"$1,000-$1,249","$1,250-$1,499","$1,500-$1,749","$1,750-$1,999","$2,000-$2,999","$3,000-$3,499","$3,500 or more",Not stated,Total
Males,Arthritis,36438,15707.0,43539.0,130240.0,105062.0,72377.0,55192.0,55377.0,62624.0,43514.0,37101.0,26457.0,46986.0,11655.0,23675.0,22305.0,788253.0
Males,Asthma,56421,22093.0,35764.0,60833.0,51801.0,45647.0,42922.0,56481.0,70171.0,56253.0,50987.0,39393.0,77376.0,19217.0,36518.0,12112.0,733991.0
Males,Cancer (including remission),18300,7830.0,18350.0,55159.0,45493.0,32893.0,25384.0,23660.0,26104.0,17696.0,15400.0,11612.0,20994.0,5763.0,13214.0,9757.0,347612.0
Males,Dementia (including Alzheimer’s),5874,1703.0,4487.0,15655.0,17127.0,6609.0,4296.0,2852.0,2058.0,1159.0,960.0,485.0,627.0,213.0,675.0,13197.0,77978.0
Males,Diabetes (excluding gestational diabetes),41259,13564.0,36687.0,103589.0,80036.0,56052.0,43773.0,45671.0,52146.0,36365.0,31602.0,22673.0,,9982.0,18184.0,17979.0,649871.0
Males,Heart disease (including heart attack or angina),33733,13494.0,34768.0,104946.0,84457.0,57886.0,43854.0,39822.0,42985.0,28452.0,24184.0,16993.0,29779.0,8039.0,18307.0,18913.0,600606.0
Males,Kidney disease,7527,2740.0,7099.0,22194.0,18599.0,11290.0,7644.0,6736.0,7075.0,4615.0,4052.0,2901.0,5197.0,1301.0,2921.0,4564.0,116458.0
Males,Lung condition (including COPD or emphysema)(d),11310,4662.0,14283.0,44277.0,38698.0,23053.0,14434.0,12151.0,12519.0,7407.0,5870.0,3673.0,5866.0,1471.0,2970.0,7383.0,210023.0
Males,Mental health condition (including depression or anxiety),66224,22109.0,57730.0,98335.0,93725.0,67015.0,48471.0,59230.0,69882.0,50509.0,43022.0,32342.0,58113.0,12407.0,20924.0,19714.0,819755.0
Males,Stroke,8837,3199.0,8258.0,25734.0,21857.0,12692.0,8387.0,7039.0,6895.0,4230.0,3434.0,2362.0,3750.0,1012.0,2314.0,6522.0,126524.0
Males,Any other long-term health condition(s)(e),62771,21964.0,47916.0,95177.0,87810.0,60447.0,44624.0,50453.0,59577.0,45462.0,40843.0,31608.0,62463.0,15402.0,30209.0,21272.0,778007.0
Males,No long-term health condition(s),493660,172350.0,214293.0,267675.0,241094.0,305993.0,357614.0,526501.0,658023.0,513774.0,465367.0,362236.0,695129.0,180584.0,336408.0,96074.0,5886770.0
Males,Not stated,27592,9557.0,14749.0,22181.0,18588.0,17831.0,19127.0,25563.0,30446.0,23043.0,20273.0,15333.0,26622.0,6771.0,12744.0,597195.0,887624.0
Males,Total males(c),757786,267465.0,416481.0,699302.0,605976.0,587669.0,592149.0,798018.0,978619.0,753136.0,677223.0,522629.0,994769.0,255125.0,,774155.0,10161299.0
Females,Arthritis,90627,38530.0,86073.0,211793.0,270319.0,167380.0,106648.0,87436.0,75318.0,48471.0,39787.0,26850.0,38372.0,7749.0,14452.0,48340.0,1358135.0
Females,Asthma,80300,37671.0,61680.0,103747.0,121202.0,104904.0,87423.0,87917.0,88210.0,65357.0,55841.0,39425.0,59036.0,10188.0,16289.0,20639.0,1039828.0
Females,Cancer (including remission),28681,11953.0,22938.0,52323.0,63985.0,43067.0,29512.0,25759.0,23566.0,,14106.0,10291.0,15974.0,3346.0,6587.0,12208.0,380271.0
Females,Dementia (including Alzheimer’s),8929,2421.0,5405.0,14805.0,32177.0,10320.0,4703.0,3133.0,1695.0,791.0,752.0,433.0,524.0,170.0,573.0,24048.0,110881.0
Females,Diabetes (excluding gestational diabetes),52233,15821.0,37061.0,88127.0,101484.0,59532.0,38318.0,33012.0,29312.0,19384.0,15993.0,10561.0,14153.0,2531.0,4492.0,19501.0,541524.0
Females,Heart disease (including heart attack or angina),27084,10930.0,25465.0,64219.0,91824.0,49203.0,27649.0,20942.0,16150.0,10048.0,8559.0,5342.0,7166.0,1559.0,3435.0,20839.0,390417.0
Females,Kidney disease,8188,3065.0,7162.0,18161.0,25751.0,13285.0,7398.0,5831.0,4676.0,3062.0,2663.0,1630.0,2367.0,534.0,1050.0,5953.0,110768.0
Females,Lung condition (including COPD or emphysema)(d),14073,5719.0,15111.0,39359.0,56084.0,30885.0,15613.0,11949.0,8951.0,5197.0,4394.0,2542.0,3252.0,755.0,,9714.0,225336.0
Females,Mental health condition (including depression or anxiety),111461,50018.0,90750.0,141381.0,167118.0,,110850.0,107279.0,104060.0,74993.0,60773.0,40919.0,55823.0,8614.0,12801.0,32687.0,1313254.0
Females,Stroke,8262,2894.0,7036.0,18333.0,26582.0,13089.0,6835.0,4921.0,3616.0,2197.0,1935.0,1186.0,1509.0,387.0,876.0,7128.0,106781.0
Females,Any other long-term health condition(s)(e),94460,40374.0,69052.0,123961.0,154344.0,111262.0,79191.0,76511.0,76001.0,57293.0,48738.0,34900.0,52435.0,9224.0,14636.0,33385.0,1075785.0
Females,No long-term health condition(s),673139,252089.0,307994.0,360874.0,371957.0,459778.0,486864.0,541313.0,558655.0,414063.0,353098.0,248060.0,379267.0,74681.0,120910.0,86056.0,5688800.0
Females,Not stated,34076,13581.0,18501.0,26890.0,27514.0,26599.0,26109.0,26508.0,25156.0,17300.0,14850.0,9773.0,13851.0,2679.0,5179.0,511973.0,800534.0
Females,Total females(c),1058585,412349.0,588582.0,874289.0,975636.0,923488.0,846784.0,882592.0,888180.0,649731.0,551794.0,385966.0,580297.0,111240.0,181919.0,712058.0,10623484.0
Persons,Arthritis,127066,54238.0,129614.0,342030.0,375385.0,239760.0,161837.0,142809.0,137943.0,91986.0,76882.0,53307.0,85358.0,19400.0,38130.0,70644.0,2146388.0
Persons,Asthma,136722,59767.0,97444.0,164577.0,173003.0,150549.0,130335.0,144398.0,158383.0,121619.0,106832.0,78818.0,136410.0,29405.0,52810.0,32746.0,1773823.0
Persons,Cancer (including remission),46982,19782.0,41285.0,107482.0,109476.0,75955.0,54896.0,49416.0,49675.0,33693.0,29510.0,21903.0,36965.0,9107.0,19799.0,21965.0,727885.0
Persons,Dementia (including Alzheimer’s),14810,4126.0,9892.0,,49310.0,16930.0,8999.0,5985.0,3754.0,1952.0,1707.0,921.0,1151.0,379.0,1243.0,37247.0,188857.0
Persons,Diabetes (excluding gestational diabetes),93487,29391.0,73750.0,191717.0,181520.0,115582.0,82090.0,78688.0,81462.0,55754.0,47593.0,33238.0,54459.0,12516.0,22676.0,,1191393.0
Persons,Heart disease (including heart attack or angina),60824,24420.0,60235.0,169163.0,176287.0,107088.0,71504.0,60763.0,59136.0,38498.0,32748.0,22337.0,36948.0,9599.0,21744.0,39748.0,991024.0
Persons,Kidney disease,15712,5809.0,14266.0,40352.0,44352.0,24576.0,15039.0,12568.0,11749.0,7674.0,6716.0,4531.0,7566.0,1831.0,3969.0,10513.0,227223.0
Persons,Lung condition (including COPD or emphysema)(d),25382,10384.0,29392.0,83637.0,94779.0,53938.0,30046.0,24102.0,21464.0,12609.0,,6218.0,9117.0,2225.0,4708.0,17092.0,435362.0
Persons,Mental health condition (including depression or anxiety),177687,72128.0,148476.0,239713.0,260842.0,210734.0,159317.0,166513.0,173939.0,125502.0,103797.0,73265.0,113940.0,21024.0,33729.0,52402.0,2133007.0
Persons,Stroke,17104,6091.0,15292.0,44067.0,48436.0,25779.0,15222.0,11967.0,10512.0,6431.0,5365.0,3550.0,5262.0,1398.0,3194.0,13648.0,233305.0
Persons,Any other long-term health condition(s)(e),157242,62335.0,116966.0,219141.0,242153.0,171707.0,123818.0,126967.0,135585.0,102757.0,89582.0,66504.0,114899.0,24625.0,44845.0,54660.0,1853788.0
Persons,No long-term health condition(s),1166803,424443.0,522292.0,628548.0,613045.0,765767.0,844476.0,1067816.0,1216673.0,927834.0,818463.0,610292.0,1074402.0,255261.0,457309.0,182131.0,11575568.0
Persons,Not stated,61669,23132.0,33252.0,49069.0,46101.0,44428.0,45234.0,52068.0,55602.0,40341.0,35124.0,25108.0,40471.0,9448.0,17930.0,1109165.0,1688151.0
Persons,Total persons(c),1816370,679812.0,1005072.0,1573594.0,1581612.0,1511161.0,1438936.0,1680606.0,1866801.0,1402863.0,1229021.0,908593.0,1575067.0,366363.0,662715.0,1486211.0,20784787.0
