Sex,Category,Employed,Unemployed,Total,labour force,Not stated,Total
Males,Arthritis,,14760.0,281846.0,495437.0,10964.0,788253.0
Males,Asthma,466960.0,28924.0,495889.0,233096.0,5015.0,
Males,Cancer (including remission),103719.0,4048.0,107763.0,235366.0,4490.0,347612.0
Males,Dementia (including Alzheimer’s),2245.0,267.0,2511.0,69637.0,5830.0,77978.0
Males,Diabetes (excluding gestational diabetes),244965.0,15216.0,260177.0,381113.0,8580.0,649871.0
Males,Heart disease (including heart attack or angina),167503.0,9396.0,176900.0,414623.0,9088.0,600606.0
Males,Kidney disease,28781.0,1941.0,30725.0,83408.0,,116458.0
Males,Lung condition (including COPD or emphysema)(e),41371.0,3946.0,45316.0,161052.0,3655.0,210023.0
Males,Mental health condition (including depression or anxiety),390340.0,47898.0,438236.0,373288.0,8228.0,819755.0
Males,Stroke,22480.0,1574.0,24059.0,99320.0,3152.0,126524.0
Males,Any other long-term health condition(s)(f),345576.0,25453.0,371031.0,,8344.0,778007.0
Males,No long-term health condition(s),4396067.0,228130.0,4624198.0,1226947.0,35627.0,5886770.0
Males,Not stated,195793.0,12059.0,207848.0,133707.0,546062.0,887624.0
Males,Total males(d),6200207.0,351248.0,6551456.0,2992063.0,617785.0,10161299.0
Females,Arthritis,367982.0,17532.0,385515.0,948907.0,23715.0,1358135.0
Females,Asthma,569418.0,,600571.0,429994.0,9262.0,1039828.0
Females,Cancer (including remission),121027.0,4205.0,125233.0,249532.0,5506.0,380271.0
Females,Dementia (including Alzheimer’s),1474.0,156.0,1626.0,,9774.0,110881.0
Females,Diabetes (excluding gestational diabetes),151669.0,9792.0,161469.0,370385.0,9670.0,541524.0
Females,Heart disease (including heart attack or angina),65309.0,3762.0,69068.0,311117.0,10236.0,
Females,Kidney disease,22475.0,1366.0,23841.0,83815.0,3113.0,110768.0
Females,Lung condition (including COPD or emphysema)(e),39109.0,2974.0,42085.0,178483.0,4768.0,225336.0
Females,Mental health condition (including depression or anxiety),680993.0,56683.0,737673.0,562415.0,,1313254.0
Females,Stroke,14640.0,973.0,15613.0,87864.0,3304.0,106781.0
Females,Any other long-term health condition(s)(f),470999.0,26298.0,497299.0,565217.0,13273.0,1075785.0
Females,No long-term health condition(s),3834599.0,180137.0,4014732.0,1640918.0,33143.0,5688800.0
Females,Not stated,172544.0,8535.0,181078.0,121700.0,497763.0,800534.0
Females,Total females(d),,295199.0,6144401.0,3896023.0,583062.0,10623484.0
Persons,Arthritis,635067.0,32293.0,667361.0,1444340.0,34684.0,2146388.0
Persons,Asthma,1036377.0,60083.0,1096460.0,663091.0,14273.0,1773823.0
Persons,Cancer (including remission),224738.0,8252.0,232995.0,484897.0,9997.0,727885.0
Persons,Dementia (including Alzheimer’s),3719.0,425.0,4139.0,169109.0,15604.0,188857.0
Persons,Diabetes (excluding gestational diabetes),396636.0,25010.0,,751498.0,18252.0,1191393.0
Persons,Heart disease (including heart attack or angina),232810.0,13156.0,245969.0,725738.0,19325.0,991024.0
Persons,Kidney disease,51256.0,3303.0,54562.0,167225.0,5440.0,227223.0
Persons,Lung condition (including COPD or emphysema)(e),80487.0,6921.0,87401.0,339534.0,8420.0,435362.0
Persons,Mental health condition (including depression or anxiety),1071332.0,104578.0,1175912.0,935705.0,21395.0,2133007.0
Persons,Stroke,37117.0,2548.0,39671.0,187179.0,6456.0,233305.0
Persons,Any other long-term health condition(s)(f),816580.0,51755.0,868331.0,963842.0,21618.0,1853788.0
Persons,No long-term health condition(s),8230665.0,408267.0,8638931.0,2867863.0,68775.0,11575568.0
Persons,Not stated,368330.0,20588.0,388924.0,255409.0,1043818.0,1688151.0
Persons,Total persons(d),12049410.0,646442.0,12695853.0,6888081.0,1200851.0,20784787.0
