Sex,Category,regular service,reserves service,not currently serving)(d),Australian Defence Force,Not stated,Total
Persons,Non-school qualification:,,,,,,
Persons,Postgraduate Degree Level,5305.0,3776.0,27720.0,1318108.0,4515.0,1359428.0
Persons,Graduate Diploma and Graduate Certificate Level,1230.0,1335.0,14416.0,477876.0,,495942.0
Persons,Bachelor Degree Level,8727.0,5275.0,58184.0,3525050.0,12024.0,3609256.0
Persons,Advanced Diploma and Diploma Level,8243.0,4588.0,68453.0,1858023.0,7430.0,1946738.0
Persons,Certificate Level,16886.0,5122.0,142512.0,3776619.0,21589.0,3962732.0
Persons,Level of education inadequately described,310.0,157.0,4285.0,131072.0,1735.0,137554.0
Persons,Total non-school qualification,40702.0,,315569.0,,48378.0,11511655.0
Persons,No non-school qualification,18620.0,3951.0,162761.0,7366344.0,91844.0,7643526.0
Persons,Level of education not stated,964.0,372.0,17934.0,501060.0,1109270.0,1629609.0
Persons,Total,60286.0,24581.0,496276.0,18954152.0,1249493.0,20784787.0
