Sex,Category,regular service,reserves service,not currently serving)(c),Australian Defence Force,Not stated,Total
Males,None(d),1869.0,854.0,10333.0,325346.0,683.0,339094.0
Males,1-15 hours,905.0,1122.0,12728.0,494805.0,1083.0,510642.0
Males,16-24 hours,720.0,1118.0,10376.0,415262.0,911.0,428385.0
Males,25-34 hours,,1037.0,11685.0,445919.0,898.0,460470.0
Males,35-39 hours,6407.0,3218.0,32787.0,1237605.0,2156.0,1282172.0
Males,40 hours,15788.0,4084.0,35089.0,1289746.0,2234.0,1346938.0
Males,41-48 hours,7759.0,2692.0,20767.0,610899.0,837.0,642957.0
Males,49 hours and over,11154.0,3514.0,36263.0,1019167.0,1883.0,1071988.0
Males,Not stated,755.0,170.0,2032.0,99282.0,15341.0,117574.0
Males,Total,46287.0,17805.0,172068.0,,26022.0,6200207.0
Females,None(d),859.0,234.0,2312.0,444193.0,688.0,448291.0
Females,1-15 hours,353.0,411.0,3340.0,842813.0,1394.0,848304.0
Females,16-24 hours,405.0,482.0,3781.0,802282.0,1323.0,808274.0
Females,25-34 hours,438.0,496.0,4923.0,899303.0,,906480.0
Females,35-39 hours,1901.0,707.0,7223.0,1193396.0,1658.0,1204883.0
Females,40 hours,4020.0,741.0,5258.0,781076.0,1065.0,792162.0
Females,41-48 hours,1884.0,469.0,2813.0,332132.0,368.0,337660.0
Females,49 hours and over,2136.0,515.0,3766.0,409243.0,687.0,416343.0
Females,Not stated,236.0,42.0,304.0,76078.0,10143.0,86805.0
Females,Total,12219.0,4103.0,33719.0,5780514.0,18646.0,5849207.0
Persons,None(d),2729.0,1091.0,12646.0,769542.0,1374.0,787382.0
Persons,1-15 hours,1254.0,1534.0,16068.0,1337617.0,2471.0,1358943.0
Persons,16-24 hours,1122.0,1598.0,14159.0,1217541.0,2228.0,1236650.0
Persons,25-34 hours,1369.0,1528.0,16606.0,1345223.0,2222.0,1366953.0
Persons,35-39 hours,8306.0,3922.0,,2431005.0,3811.0,2487056.0
Persons,40 hours,19807.0,4824.0,40346.0,2070822.0,3298.0,2139097.0
Persons,41-48 hours,9642.0,3158.0,23580.0,943030.0,1202.0,980616.0
Persons,49 hours and over,13291.0,,40032.0,1428406.0,2576.0,1488333.0
Persons,Not stated,984.0,211.0,2335.0,,25481.0,204375.0
Persons,Total,58512.0,21908.0,205787.0,11718545.0,44669.0,12049410.0
